Comparing files film.yuv and FILMDEC.YUV
0006A09A: 7D 7E
0006A0B9: 4E 4D
0006B476: 83 82
0006B889: 57 56
0006BF45: 88 89
0006BF49: 88 89
0006C468: 5A 59
0006CB44: 5E 5F
0006D107: 90 8F
0006E05A: 66 65
000700DF: 7D 7C
000706EB: 7E 7D
00070A7F: 78 77
00070C1F: 76 75
0007108F: 78 77
0007141F: 75 74
0007163B: 76 75
0007174C: 76 77
00071833: 75 74
0007189F: 78 77
000718DF: 7A 79
00071C3F: 74 73
00071CC8: 78 79
00071E5F: 76 75
00072390: 76 77
000723C7: 77 78
000723CC: 79 78
00072403: 71 70
0007243F: 73 72
0007267B: 75 74
000728AF: 76 75
00072C43: 71 70
00072C67: 73 72
00072C9F: 75 74
00072CA8: 75 74
00072CAF: 75 74
000734AF: 74 73
00073620: 6F 6E
000736DB: 76 75
0007386F: 71 70
0007387F: 72 71
000738AF: 73 72
00073AE3: 75 76
00073C13: 6D 6C
00073C18: 6D 6C
00073C2B: 6E 6D
00073C4F: 6F 6E
00073CE8: 75 74
00074450: 6D 6E
00074487: 70 6F
0007466B: 6E 6D
0007481F: 6B 6A
0007486F: 6E 6D
000748CF: 72 71
00074A73: 6E 6D
00074C13: 69 68
00074C93: 6F 6E
00074C98: 6F 6E
00075008: 68 67
0007507F: 6D 6C
00075413: 68 67
0007542F: 69 68
0007565B: 6B 6A
000756FB: 72 71
000757FC: 71 72
0007582F: 68 67
0007585F: 6B 6A
00075A9B: 6C 6B
00075CA3: 6D 6C
00075CA8: 6D 6C
000764CF: 6D 6C
00076640: 67 66
000766A0: 6B 6A
0007680F: 64 63
0007681F: 65 64
0007682F: 66 65
0007685F: 68 67
0007687F: 69 68
000768AB: 6B 6A
000768CF: 6C 6B
00076C4B: 66 65
00076C5F: 67 66
00076C73: 68 67
000770A3: 69 68
000770AB: 6A 69
000770CF: 6B 6A
0007744B: 65 64
00077463: 66 65
000774FB: 6D 6C
00077613: 63 62
0007766B: 66 65
000776AB: 69 68
0007788F: 67 66
000778AF: 69 68
000778BF: 69 68
000778DF: 6B 6A
000778FB: 6C 6B
00077A0F: 61 60
00077C2B: 62 61
00077CC7: 69 68
0007802F: 62 61
00078073: 65 64
0007808F: 66 65
0007841F: 60 5F
000784C7: 68 67
000784E7: 6B 6A
0007867B: 65 64
0007881F: 5F 5E
0007886F: 63 62
0007888F: 65 64
0007889F: 66 65
00078A33: 60 5F
00078C06: 5F 5E
00078C3B: 61 60
00078C63: 62 61
00079406: 5E 5D
00079463: 61 60
00079623: 5E 5D
0007966B: 61 60
0007968B: 63 62
0007986F: 61 60
0007988F: 63 62
00079A27: 5D 5C
00079C53: 5F 5E
0007A008: 5B 5A
0007A020: 5C 5B
0007A027: 5C 5B
0007A02F: 5D 5C
0007A453: 5E 5D
0007A608: 5A 59
0007A827: 5B 5A
0007AA08: 59 58
0007AC2B: 5B 5A
0007ACDF: 8D 8C
0007AE57: 5C 5B
0007B0A4: 88 89
0007B42F: 5A 59
0007B63B: 5B 5A
0007B786: 86 85
0007B80F: 57 56
0007B81F: 58 57
0007B82F: 59 58
0007B8F3: 8B 8A
0007B8FB: 8C 8B
0007BA0A: 56 55
0007BC06: 57 56
0007BC2F: 58 57
0007BCAC: 89 88
0007C09B: 87 86
0007C49F: 87 86
0007C67B: 84 83
0007C953: 81 80
0007CA7F: 83 82
0007CF00: 58 57
0007D05F: 80 7F
0007D09F: 84 83
0007D0CF: 87 86
0007D10A: 53 54
0007D428: 7C 7D
0007D89F: 83 82
0007D8AF: 84 83
0007D8E3: 87 86
0007D8FB: 88 87
0007DA6B: 7F 7E
0007DC07: 77 78
0007DC83: 81 80
0007DF30: 7D 7E
0007E0F3: 86 85
0007E8A3: 81 80
0007E8B7: 82 81
0007E8DF: 84 83
0007EA9B: 7F 7E
0007EF83: 7E 7D
0007F0D3: 83 82
0007F450: 7B 7C
0007F6D3: 82 81
0007F6DB: 83 82
0007F88F: 7E 7D
0007FA3B: 79 78
0007FA4F: 7B 7A
0007FAD3: 81 80
0007FADB: 82 81
0007FB13: 78 77
0007FB80: 7C 7D
0007FE4F: 78 77
0007FE5B: 79 78
0007FE63: 7A 79
0007FE8F: 7B 7A
0007FEAF: 7C 7B
0007FEB7: 7D 7C
0007FED3: 7E 7D
0007FF30: 79 78
00080840: CB CC
00080B80: CA C9
00080EF7: C7 C8
00081FD0: CA C9
00083763: CD CC
00083C43: CC CB
0008480B: CA C9
00085003: C8 C7
0008500B: C9 C8
0008562B: CA C9
00085C0B: C8 C7
0008681F: C6 C5
0008684F: C7 C6
000868E0: C8 C7
00086A48: C6 C5
00086A53: C7 C6
00086A58: C7 C6
000870E0: C7 C6
000870EF: C7 C6
00087683: C6 C5
000878E0: C6 C5
000878EF: C6 C5
0008808F: C4 C3
00088653: C3 C2
00088810: C2 C1
0008885F: C3 C2
000889EB: B2 B1
00088C7F: C3 C2
00088DEB: A9 A8
00088FC6: C1 C2
00088FE4: A9 AA
000890A0: C2 C1
000890E4: AA AB
00089820: C0 BF
0008988F: C1 C0
000898FF: AB AC
00089A03: BE BD
00089C1B: BF BE
00089F6F: BF C0
0008A02F: BF BE
0008A81F: BD BC
0008A82F: BE BD
0008AAD0: B4 B5
0008AE9D: B8 B9
0008B08F: BA BB
0008B403: BA B9
0008B70B: BB BA
0008B8DF: BC BD
0008BA6B: BF C0
0008BCEF: BD BE
0008BD7F: C2 C1
0008BF57: BE BD
0008C1E0: BF BE
0008C4B7: C1 C2
0008C8BF: C2 C3
0008C94B: C2 C1
0008CB23: BC BB
0008CBC7: C2 C1
0008CD23: BD BC
