Comparing files film.yuv and FILMDEC.YUV
0018E6CD: 5B 5C
001904B8: 88 89
0019068B: 83 82
00190B6B: 80 7F
00190BB3: 88 87
00190C0D: 97 98
0019100F: 8A 8B
001910CB: 8B 8A
00191A43: 81 80
00191B5F: 83 82
00191FAB: 88 87
00191FC3: 8A 89
001920DF: 8C 8B
001923FC: 90 8F
00192400: 84 85
001924EB: 8E 8D
00192798: 88 87
0019281F: 86 87
001928DF: 8B 8A
001928EB: 8D 8C
00192B3B: 85 84
00192B93: 89 88
00192CA0: 89 8A
00192CEB: 8C 8B
00193017: 86 85
0019366B: 88 87
00193778: 88 89
00193F94: 88 89
00194283: 82 81
001943B4: 89 8A
001943CF: 89 8A
00194447: 84 83
001946F0: 89 88
00194A4A: 82 81
00194AE7: 87 86
00194BB4: 86 87
00194E5A: 7D 7C
00194EC0: 85 84
00194F4F: 7F 80
0019508B: 7A 79
001950BB: 84 83
0019533F: 82 83
0019553F: 81 82
0019573F: 80 81
00195A3A: 80 7F
0019607F: 78 77
001960EF: 7F 7E
00196333: 81 82
001966F3: 7F 7E
001968DF: 7C 7B
00197FCB: 7C 7B
00197FF3: 7D 7C
0019877F: 78 77
00198B7B: 78 77
00199321: 7C 7D
00199343: 78 77
00199B43: 79 78
00199BC3: 7D 7C
0019A853: 7A 79
0019ABFB: 7F 7E
0019AFC3: 7D 7C
0019AFCF: 7E 7F
0019AFDF: 7E 7D
0019B3CF: 7F 7E
0019BB53: 7B 7A
0019C2EB: 80 7F
0019C353: 7C 7B
0019C396: 7D 7E
0019C4CC: 7F 80
0019C6D4: 7F 7E
0019C780: 7D 7C
0019CF8F: 7E 7D
0019D2D1: 93 92
0019DDED: B8 B7
0019DF09: 7C 7D
0019E5E4: AC AB
0019E728: AE AF
0019EB41: B5 B4
0019F4B4: C0 BF
0019F8A5: BD BC
0019FBA2: BC BD
001A015B: C5 C6
001A029A: BE BF
001A03CA: B8 B7
001A04A3: BE BF
001A09FB: B2 B3
001A0B06: BD BE
001A0B17: BB BA
001A0C8B: C4 C5
001A0CB9: BC BD
001A0CD7: B8 B9
001A109B: C2 C3
001A1363: C8 C7
001A1837: C7 C6
001A18BF: BD BE
001A19F4: B6 B5
001A1FFB: BA BB
001A20FB: BB BC
001A24E7: BD BE
001A2E03: C8 C7
001A30A4: C5 C6
001A33C4: C2 C1
001A378F: C5 C6
001A3850: C8 C7
001A3ACF: C3 C2
001A4050: C7 C6
001A4094: C3 C2
001A40EF: C3 C2
001A48DF: C1 C0
001A4C63: C6 C5
001A4C66: C6 C5
001A5690: C2 C1
001A576F: C4 C5
001A577F: C3 C4
001A5AA8: C0 BF
001A681F: BE BD
001A8F1F: BE BD
001A8F23: BF BE
001A8F2B: C0 BF
001AA0C0: BE BD
001AA780: C0 BF
001AB0A4: BF BE
001AB0D0: BD BC
001AB0E0: BC BB
001AB0F0: BB BA
001AB7AF: BE BF
001AB810: C2 C1
001ABF8F: BD BE
001ABFB9: BD BC
001ABFCF: BA BB
001ABFDF: B9 BA
001AC030: C1 C0
001AC140: BF C0
001ACA8E: BF C0
001ACF3A: BE BF
001ACF71: BF BE
001AD000: C0 BF
001AE13E: 8B 8A
001AE43B: 9B 9C
001AE71A: A0 9F
001AEA4B: 99 98
001AEC73: 8C 8B
001AEDBE: 7D 7E
001AF284: 6B 6A
001AF30E: 88 89
001AF4E5: 93 94
001AF67A: 6E 6F
001AF814: 7C 7B
001B1126: 1E 1F
001C03DC: 88 87
001C0607: 93 94
001C0817: 8D 8E
001C0DA3: 98 97
001C159A: 9B 9A
001C2291: 87 88
001C29CB: 9F 9E
001C2C65: 88 89
001C2C75: 89 88
001C2D57: 8B 8A
001C305F: 88 89
001C3095: 96 97
001C3129: 94 95
001D00E5: 82 81
001D03A8: 85 84
001D0C09: 7A 7B
001D1266: 82 81
001D15CE: 84 83
001D17C0: 7F 7E
001D1D25: 81 80
001D1F81: 87 88
001D2203: 8E 8D
001D22DA: 89 88
001D2AE5: 8A 8B
001D2C17: 8A 8B
001D2CFC: 6B 6C
001D2D1F: 8C 8B
001D30DE: 90 91
001D31FB: 86 87
001D3560: 81 80
001D35F8: 89 88
001E670F: 27 26
001E7930: 25 26
001E80F0: 27 26
001E9B60: 2A 2B
001EA706: 28 29
001EBC93: 29 2A
001F03C0: 8E 8F
001F07F3: 90 8F
001F0813: 91 90
001F09E1: 8D 8E
001F0A47: 90 8F
001F0F47: 90 8F
001F1A02: 8E 8F
001F20E0: 91 90
001F263C: 8F 8E
001F280B: 8E 8D
001F2FA0: 91 90
001F3036: 8F 8E
001F3743: 8F 8E
001F3F3F: 90 8F
001F4469: 8F 90
001F57D3: 92 91
001F63B3: 91 90
001F787C: 91 92
001F8373: 90 8F
001F837B: 91 90
001F8B73: 91 90
001F8B7B: 92 91
001F8C61: 8F 90
001F9080: 92 91
001F90EF: 92 91
001F933A: 8F 90
001F9FFB: 92 91
001FA097: 91 90
001FA3C4: 90 91
001FABCD: 8F 90
001FB083: 90 8F
001FB377: 8D 8E
001FB572: 8D 8E
001FBA8D: 8E 8F
001FBC73: 8E 8F
001FBE81: 8F 90
001FBF4F: 8D 8E
001FBF93: 90 8F
001FBF9B: 91 90
001FC028: 8F 90
001FC626: 8F 8E
001FC71F: 8F 90
001FC747: 8E 8D
001FC793: 91 90
001FC922: 8E 8F
001FCA6F: 8E 8F
001FCF47: 8F 8E
001FD1FC: 8D 8C
001FD236: 8D 8E
001FD366: 8E 8F
001FDA5B: 8E 8D
001FDFFB: 92 91
001FE05F: 8E 8D
001FE07F: 90 8F
001FE178: 8E 8F
001FE654: 8D 8C
001FE76E: 90 91
001FE7F3: 92 91
001FF063: 8C 8B
001FF08B: 91 90
001FF7EF: 93 92
001FF8A3: 92 91
001FFF4F: 8A 89
002003C0: 81 82
00200420: 83 84
00200763: 84 83
002009E1: 81 82
00201A02: 82 83
00202942: 85 84
002030F0: 84 83
00203F70: 84 83
0020406C: 84 85
00204469: 84 85
00204CAF: 84 85
002058E3: 84 83
00206324: 86 85
00206713: 88 87
00206B26: 87 86
00206BA1: 85 84
00206C2F: 86 87
0020736D: 86 85
0020746C: 82 83
00208030: 87 86
0020842B: 87 88
00208753: 87 86
00208967: 85 86
00208C61: 85 86
00208F08: 89 88
00208F64: 85 86
002092AD: 85 86
0020933A: 87 88
00209441: 86 87
002097D3: 87 86
00209BA0: 87 86
00209BCB: 87 86
00209F70: 87 86
00209F93: 87 86
0020A0D2: 87 88
0020A2D7: 87 88
0020A34B: 89 88
0020A350: 89 88
0020A3CB: 88 87
0020A40B: 8A 8B
0020A460: 89 8A
0020A7C3: 88 87
0020A9A3: 87 88
0020ACA4: 87 88
0020B36B: 8A 89
0020B886: 88 89
0020BA8D: 88 89
0020BB2E: 89 88
0020BB89: 88 89
0020BC43: 8A 8B
0020BD39: 8B 8C
0020BE81: 88 89
0020BF10: 8C 8B
0020BF2E: 8A 89
0020C7EB: 89 88
0020CB10: 8D 8C
0020CB1B: 8D 8C
0020CD33: 8E 8D
0020CD4F: 8C 8B
0020D033: 8E 8D
0020D366: 8B 8C
0020DF80: 8C 8B
0020DFB0: 8B 8A
0020E178: 8C 8D
0020E360: 8F 8E
0020E747: 8F 8E
0020E956: 90 91
0020F36A: 8E 8D
00213345: 72 71
002137C9: 2A 2B
00219039: 9D 9E
0021903F: 9D 9C
0021A883: 72 71
0021AD83: 77 78
0021B21A: 67 68
0021FA54: 75 74
0022002F: 8F 90
00220077: 8C 8B
0022008B: 90 8F
0022020F: 91 92
0022023B: 8D 8C
00220916: 90 91
00220C8F: 90 8F
00220F84: 8E 8F
0022112A: 8C 8D
0022136B: 84 85
0022148F: 8F 8E
0022227C: 89 88
0022271F: 8D 8E
002228D3: 92 91
00222F00: 91 92
00222F49: 61 62
00222F8C: 8B 8C
0022309B: 8F 8E
00223441: 5C 5B
00223748: 5B 5A
002237C3: 92 91
00223B4A: 5B 5A
00223FBB: 92 91
00223FCF: 92 91
00224660: 66 67
00224F98: 8A 8B
002250BF: 91 90
00225388: 83 84
00225B8C: 85 86
00225BAB: 8D 8E
00225E9F: 8A 8B
00225FA4: 8C 8D
00226002: 8D 8C
00226228: 72 73
0022637D: 79 78
002264B3: 8F 8E
002265B4: 8F 90
0022668A: 82 83
00226884: 7C 7D
00226CAB: 8C 8B
00226FB0: 8D 8E
00226FC3: 91 90
0022703A: 42 43
002270FF: 94 93
00227303: 8A 8B
002276AA: 8B 8A
002278D3: 92 91
00227CC3: 90 8F
00227DA3: 86 87
00227F1D: 77 78
002280D7: 92 91
0022875E: 55 54
002287B4: 8A 8B
00228978: 6E 6D
00228B82: 74 73
00228F00: 89 8A
00228FB6: 89 8A
0022A7DC: 90 91
0022A8E3: 91 90
0022AC23: 77 76
0022B320: 7A 79
0022B324: 77 76
0022B32E: 6E 6D
0022B956: 3F 3E
0022B9AE: 7A 79
0022BB06: 88 87
0022BBD4: 8C 8D
0022C08A: 56 55
0022C5AB: 70 71
0022C71C: 80 7F
0022C79E: 64 65
0022D0EB: 8F 8E
0022D4E3: 8D 8C
0022D8BD: 7A 7B
0022DB7D: 47 46
0022DFE0: 8A 8B
0022E000: 8B 8A
0022E0C8: 7F 7E
0022E8E6: 8A 8B
0022EB1C: 86 85
0022ECE6: 89 8A
0022ECFB: 8F 8E
0022EF10: 89 88
0022EFB8: 6B 6A
0022F0EE: 8B 8C
0022F261: 59 5A
0022F326: 85 84
0022F4FB: 8E 8D
0022F8FB: 8D 8C
0022FFC4: 72 73
0023020F: 92 93
00230709: 93 94
00230776: 91 90
00230A1B: 93 94
00230B5C: 9A 99
002310AF: 8F 90
0023131B: 96 95
00231400: 96 97
002314D0: 8F 90
00232F13: 9B 9A
00233313: 9C 9B
0023370F: 9C 9B
00233713: 9D 9C
00233B2F: A5 A4
00233E35: AC AB
002343F4: 91 90
0023466F: A5 A6
002350AF: 94 93
00235255: AF B0
00235860: AC AD
00235B84: A0 9F
00236380: A4 A3
0023639C: 98 97
002363A8: 96 95
00236B87: A1 A2
00236C1B: A8 A9
00236C66: AF AE
00236CA7: 98 99
0023712E: B0 AF
002377F0: 94 93
00237887: A5 A6
0023790B: A8 A7
00237BC0: 98 97
00237F87: A4 A5
00237FB0: 9A 99
00237FF0: 95 94
00238037: B1 B0
00238047: B2 B1
00238080: A7 A6
0023809F: 9E 9F
00238203: A6 A7
0023831B: AB AA
00238628: A9 AA
0023870B: A9 A8
00238B03: A8 A7
00238F6B: B0 B1
00239483: AC AD
002394DF: 99 9A
00239B1B: AD AC
00239F0B: AC AB
00239F0F: AD AC
0023A48C: AF AE
0023A4C1: 9F 9E
0023A863: B2 B1
0023AB03: AC AB
0023B43C: AD AE
0023B718: AE AD
0023BC3D: AD AE
0023BE54: AF B0
0023BF63: B1 B0
0023BF6B: B2 B1
0023C3EC: 9F 9E
0023C65B: B1 B0
0023C687: B4 B5
0023C79A: B3 B2
0023C7D4: A1 A0
0023CB1E: AF AE
0023CBEC: A0 9F
0023CC6B: B2 B1
0023CF87: B4 B3
0023D7A6: B4 B3
0023D86B: B0 AF
0023D883: B3 B2
0023D887: B4 B3
0023DA73: B0 AF
0023DF5F: AE AD
0023E083: B2 B1
0023E0B7: B2 B1
0023E308: B5 B4
0023E3E8: A4 A3
0023E4D7: A7 A8
0023E71C: B3 B2
0023EB0C: B6 B5
0023EB40: B1 B0
0023EBF4: A5 A6
0023ECDB: A9 AA
0023ECFF: A5 A6
0023F073: AE AD
0023F267: AD AE
0023FA87: AF AE
0023FFA3: B3 B2
0023FFE0: AC AD
00240BC7: 68 69
00240F33: 5C 5D
002415B4: 81 80
002419EC: 4F 4E
00241FB3: 6E 6F
0024671B: 68 67
00247503: 6A 69
002477FB: 64 65
0024A718: 6E 6D
0024A7EA: 67 68
0024B820: 44 45
0024E357: 5C 5D
0024EBF6: 67 68
0024EEC3: 62 63
0024F047: 68 69
0024F071: 76 75
0024F97B: 7B 7A
002500B8: 67 68
00250442: 81 80
002505BE: 6A 69
002505C7: 72 71
002505CB: 75 76
00250730: 85 84
00250792: 4B 4A
00250824: 87 86
00250C2F: 86 87
00250DBE: 65 64
002510D7: 79 78
0025133A: 84 83
002518E6: 83 84
00251C61: 7F 80
00251CA9: 74 75
00252703: 86 85
0025274C: 83 82
00252754: 82 81
00252A6A: 7F 7E
00252B8F: 7E 7F
00252C0A: 85 84
00252C6F: 80 81
00252C8F: 7F 80
0025301F: 85 84
0025307F: 81 82
00253493: 81 82
0025372F: 84 85
0025380F: 83 82
0025381F: 84 83
00253C1F: 83 82
00253FBF: 84 83
00253FCF: 86 85
00254065: 83 82
002543AB: 83 82
0025441F: 82 81
002544C4: 86 87
00254C2B: 80 7F
00254F9B: 83 82
002550CF: 86 85
0025576C: 82 83
0025607F: 82 81
00256360: 7F 80
002563B0: 83 84
0025666B: 80 7F
002566BB: 82 81
002566C3: 83 82
0025672C: 7D 7E
0025682C: 7C 7D
00256A73: 7F 7E
00256AC3: 82 81
00256C2F: 7C 7B
00257090: 80 7F
002570F0: 84 83
0025742F: 7B 7A
00257890: 7F 7E
00257897: 7F 7E
002588BF: 81 80
0025900F: 78 77
002590F7: 83 82
0025A09F: 7E 7D
0025A268: 7B 7C
0025A7E0: 82 83
0025A96E: 7E 7D
0025B022: 95 96
0025B0CF: 8A 8B
0025B7B3: 7E 7D
0025BD38: 98 99
0025C1EA: 92 93
0025C5DA: 90 8F
0025C64B: 98 97
0025CC6B: 98 97
0025CCEF: 90 8F
0025D84B: 95 94
0025DA77: 94 95
0025DC96: 99 98
0025E5F5: A3 A2
0025E6C0: 99 9A
0025E75D: 97 96
0025E864: 98 99
0025E885: AB AC
0025EB5B: 9C 9D
0025EE33: 92 91
0025EF3F: 94 93
0025F768: 98 99
0025F8D4: A0 A1
0025FBE8: A0 A1
00260366: B2 B1
00260380: B0 AF
002603BE: B4 B3
002603C0: B3 B2
002606AB: B4 B3
00260897: B1 B0
00260B50: B5 B4
00260CEF: AE AF
00260CF0: AD AE
00260DB3: B4 B5
00260FC0: B4 B5
002610AC: B3 B4
002612DA: B1 B2
00261338: B8 B7
00261B36: BA B9
00261B9B: B3 B2
00261ECF: B5 B4
00261F80: B6 B5
00261FBF: B4 B5
002625BE: B6 B5
002627F4: B8 B7
002644A0: B9 BA
00264700: C1 C0
002649FF: BB BA
00264F70: BC BB
00264FDF: B7 B8
00264FE0: B8 B9
002650E7: B9 B8
002650F0: B9 B8
002657DF: B8 B7
0026604F: C0 C1
00267000: C3 C2
00267F5F: BF C0
00268000: C2 C1
002680B0: BA B9
002680D0: B9 B8
00268F3F: C0 C1
00269020: C0 BF
00269090: BB BA
002690A0: BA B9
002690E0: B7 B6
00269870: BC BB
00269A03: BF BE
0026A36B: BB BC
0026A4EF: B6 B5
0026AC71: BB BA
0026AF0B: BF BE
0026AF0E: C0 BF
0026B967: A1 A0
0026B9C6: C5 C4
0026BA40: A3 A4
0026C930: AE AD
0026CC97: A8 A9
0026CF5F: AC AD
0026CF6F: AB AC
0026D283: AD AE
0026D40F: B8 B9
0026D427: B7 B8
0026D4C9: A8 A7
0026D530: B7 B6
0026D87E: B2 B1
0026DA7F: B2 B3
0026DC20: BB BC
0026E5F3: AD AC
0026E627: BB BA
0026E630: BB BA
0026ECEE: B8 B9
0026F174: BA BB
0026F418: B7 B6
0026F5D0: AE AF
0026F746: B3 B4
0026F786: B1 B2
0026FE72: B1 B0
00270318: 84 83
00270877: 7E 7F
00271882: 85 84
00271BEA: 8B 8C
002725A8: 7D 7E
00272735: 77 76
0027304D: 6D 6E
00274013: 5A 59
00274817: 56 57
00274819: 55 56
00274BD2: 56 55
0027589A: 51 50
002759F8: 4B 4A
002765B3: 54 53
00279864: 55 54
00279FE7: 49 4A
00279FE9: 49 4A
0027C5CD: 6C 6D
0027F4C0: 18 19
00280284: 9B 9A
002803C7: A8 A7
002803EC: A4 A5
00280656: A2 A1
002806CF: A6 A7
00280822: 9C 9B
002809A6: AA A9
00280B5E: A6 A5
00281334: 9C 9D
00281545: 9D 9C
00281824: 98 99
00281E26: 97 98
00281F54: 9A 9B
00281FBF: A0 A1
00282026: 97 98
00282104: 92 91
002825EA: A2 A3
002826A3: 9D 9C
002827AC: 9D 9E
00282B10: 8F 90
00282D53: 95 96
00282ECB: 9E 9D
0028306C: 9A 9B
00283263: 98 97
00283653: 92 91
00283663: 95 94
002836D0: 9C 9D
0028381F: 8D 8C
00283F9F: 96 97
00284063: 90 8F
002842EF: 94 93
0028468B: 92 91
00284764: 8F 90
00284774: 90 91
00284864: 8E 8F
00284A9F: 91 90
00284C13: 89 88
00284F4C: 88 89
002850C9: 94 95
002850EF: 8D 8C
00285A87: 8A 89
00285BBF: 98 97
00285EF9: 89 8A
00286080: 89 88
0028676F: 88 89
002868B3: 85 84
002869E0: 92 93
00286A87: 86 85
00287793: 83 82
00287A68: 82 81
00287B67: 81 82
00288773: 80 7F
00288B6B: 80 7F
00289363: 80 7F
0028936B: 81 80
00289B5B: 81 80
00289BA3: 85 84
00289EE7: 86 85
0028A460: 83 84
0028A79C: 85 86
0028A7C3: 86 85
0028A7F9: 86 87
0028AAEB: 87 88
0028B3BF: 8D 8C
0028B8E1: CA CB
0028BB7B: 8A 89
0028BE57: 8B 8A
0028BE6E: 94 93
0028BF0A: 81 80
0028BF62: 96 95
0028C129: 81 82
0028C144: 98 97
0028C227: 7F 80
0028C45D: C2 C3
0028CC2C: C8 C7
0028CE56: C1 C2
0028DABE: B8 B9
0028DB0F: C1 C2
0028E2A1: C7 C8
0028F1AF: A6 A5
0028F499: 9E 9D
0028F641: A9 AA
0029011A: B4 B5
002904BE: AC AB
00290760: AE AF
00290A9B: AE AD
00290B3C: A8 A9
00290E2E: AC AB
00291433: AD AE
00291447: AC AD
002916D4: A4 A3
00291815: B3 B2
00291A0C: B4 B5
00291D22: B4 B3
00291F4C: AD AE
00291F7F: AB AC
00291FBF: A7 A8
002920F5: A0 A1
002929E7: A6 A7
00292B45: B7 B8
00292B5F: B5 B6
00292BC0: AC AD
00292D23: BE BD
00293181: B8 B9
0029331B: C0 C1
002934D7: B2 B1
00293DDD: B6 B7
002943FF: B4 B3
00294A9B: BD BC
00294BB3: BE BD
00294C9F: BD BC
00294CE8: B5 B4
00294CEC: B4 B3
00295090: BC BB
002954B0: BF C0
002954C3: BE BF
002959D7: B6 B5
00295C2C: BE BD
00295DB3: BE BF
002962B5: BF BE
00296490: BA BB
00296B88: BB BA
00296C1F: BA BB
002970B0: BA B9
00297450: B8 B9
00297890: BB BA
002978B0: B9 B8
002978F3: B0 B1
00297A23: BC BD
00297C47: BA BB
00297CBB: B8 B7
00297CC0: B8 B7
00297ED8: B5 B4
00298340: BC BB
00298450: BC BD
002986AC: B9 B8
00298B4B: BD BC
00298F70: BC BB
002990BC: B6 B5
002990E0: B1 B0
002996B8: B6 B5
002996D4: B1 B0
00299980: BA BB
00299CB6: B5 B4
00299F9F: B8 B9
0029A04F: BB BA
0029A830: BA B9
0029AF77: B7 B8
0029AFBA: B2 B1
0029B000: BA B9
0029B71F: B8 B9
0029BF1B: B7 B8
0029BF4E: B6 B5
0029C7BF: A4 A5
0029CE8D: A6 A5
0029D185: 9F A0
0029D251: A0 A1
0029D76F: 89 88
0029DE92: 6F 6E
0029DE93: 70 71
0029DF02: A8 A9
0029E257: 99 9A
0029FE69: 7B 7C
002A0265: 17 18
002A0CF1: 3A 39
002A21EE: 23 24
002A37E9: 33 32
002B0A68: 8C 8D
002B0EA3: 8F 90
002B129E: A1 A2
002B143C: 95 94
002B16B7: AD AC
002B16CA: A1 A0
002B1D89: A4 A5
002B2398: A6 A7
002B2A77: 96 97
002B2B8E: A2 A3
002B2E18: AD AE
002B2E9B: 96 97
002B2F6E: A2 A3
002B30B1: 8F 90
002B30F2: A5 A4
002C0442: 7D 7E
002C0753: 7D 7C
002C0936: 7E 7D
002C15CA: 87 86
002C1F67: 8D 8C
002C3057: 83 84
002C3535: 8C 8D
002C3647: 8A 8B
002C36C2: 8B 8C
002D2F09: 24 25
002D432C: 27 26
002D5FAF: 32 33
002D6317: 27 26
002D7765: 26 25
002DC1D1: 32 33
002DC810: 2A 2B
002DD198: 2C 2B
002DE690: 2C 2B
002E01B3: 8E 8F
002E0326: 8E 8D
002E03DB: 8D 8C
002E04B0: 8E 8F
002E07BF: 8F 8E
002E0863: 91 90
002E086B: 92 91
002E0ADE: 8C 8D
002E0C39: 8F 90
002E0D87: 8F 90
002E0DAA: 8E 8F
002E0E60: 8F 90
002E13D0: 90 8F
002E17A3: 90 8F
002E1BE6: 8E 8F
002E1FF3: 91 90
002E276F: 90 91
002E287F: 90 91
002E3390: 90 8F
002E3562: 8E 8F
002E398C: 90 8F
002E3FCC: 8F 90
002E4361: 8E 8F
002E4883: 90 8F
002E495E: 8D 8E
002E4C8A: 8F 90
002E4E33: 8E 8F
002E4FD3: 90 8F
002E4FF0: 90 8F
002E50D7: 91 90
002E560E: 8E 8F
002E5863: 8F 8E
002E58D7: 90 8F
002E594C: 8F 90
002E5F9E: 8F 90
002E5FD0: 90 8F
002E626F: 8E 8F
002E638E: 8F 90
002E646A: 8D 8E
002E6598: 8E 8F
002E6AEB: 90 8F
002E6CE8: 8F 90
002E6E46: 8F 90
002E6EE1: 8E 8F
002E6F30: 91 90
002E73EA: 90 8F
002E73F1: 8F 90
002E7485: 8D 8E
002E779D: 8F 90
002E77F7: 90 8F
002E78EF: 90 91
002E7C89: 8F 8E
002E7F30: 92 91
002E7FCD: 91 90
002E7FD0: 91 90
002E80C3: 90 91
002E80CC: 90 91
002E8791: 8E 8F
002E8CD8: 90 8F
002E8E82: 8E 8F
002E8EB8: 90 8F
002E9023: 90 8F
002E91BF: 8F 8E
002E97EF: 91 90
002E9963: 8F 90
002E9B80: 90 8F
002E9CBF: 8F 90
002E9FB0: 91 90
002E9FE0: 92 91
002EA3D3: 93 92
002EA4B8: 91 92
002EA7D3: 94 93
002EAB56: 92 91
002EAB71: 8F 8E
002EABC3: 92 91
002EABE7: 94 93
002EAC60: 91 92
002EAF90: 91 90
002EB04F: 92 91
002EB174: 92 91
002EB245: 90 91
002EB442: 90 91
002EB4FF: 94 95
002EB662: 90 91
002EB8A0: 90 91
002EB987: 90 91
002EBFEF: 94 95
002EC07F: 90 91
002EC13C: 91 92
002EC488: 91 92
002EC833: 92 91
002ECB4F: 92 91
002ECF70: 92 91
002ECFD3: 94 93
002ED0B8: 92 93
002ED4D0: 95 96
002ED6A5: 91 92
002ED743: 92 91
002EDF60: 92 93
002EDFCB: 95 94
002EDFD6: 96 95
002EDFDA: 95 94
002EE0B6: 93 92
002EE3B2: 94 93
002EE700: 93 92
002EEB6B: 94 93
002EEEFD: 94 95
002EEF50: 93 92
002EEF5F: 94 93
002EF85F: 94 93
002EFB0B: 93 92
002F01B3: 81 82
002F02D2: 81 82
002F031D: 83 82
002F04B0: 81 82
002F0ADE: 81 82
002F0D87: 81 82
002F0DAA: 81 82
002F0F99: 83 82
002F1A41: 83 84
002F1BE6: 80 81
002F1CB3: 83 82
002F2684: 84 83
002F2700: 83 82
002F2EF0: 81 80
002F2F1F: 83 82
002F2F78: 83 82
002F2FEF: 80 81
002F3460: 83 82
002F34E0: 82 83
002F39E0: 82 83
002F3BDF: 81 82
002F3FCF: 82 83
002F41E7: 81 80
002F4361: 83 84
002F46A7: 84 83
002F4919: 84 83
002F491D: 83 84
002F495E: 83 84
002F4C1F: 83 84
002F4E33: 83 84
002F50CB: 81 82
002F560E: 83 84
002F626F: 83 84
002F64DE: 81 80
002F6C8F: 83 84
002F7485: 84 85
002F770F: 84 83
002F7B00: 84 83
002F7B07: 84 83
002F8300: 85 84
002F8307: 85 84
002F831A: 85 84
002F8720: 85 84
002F908F: 84 83
002F932B: 87 86
002F94F7: 7F 80
002F9963: 85 86
002F9BC8: 82 81
002F9E99: 83 84
002FA057: 86 85
002FA0C8: 83 82
002FAB80: 85 84
002FAEAE: 85 84
002FBFF0: 82 83
002FC09B: 85 86
002FC541: 88 89
002FCF90: 87 86
002FD35E: 88 89
002FD55D: 88 89
002FD65B: 88 89
002FD823: 8A 89
002FD92E: 89 8A
002FE2BE: 85 86
002FEB30: 89 88
002FEEFD: 84 85
002FEF90: 88 87
002FF3B1: 85 86
002FF863: 8A 8B
002FF8BB: 84 83
002FFF63: 8A 8B
002FFFA0: 88 87
003003E6: 32 33
00301881: 2B 2C
0030539A: 30 2F
003060ED: 2E 2F
00306C15: 2E 2F
0030D3DA: 3E 3D
0030E735: 3E 3F
0030ECFE: 47 48
0030F0EF: 61 60
0031004F: 95 96
003100B6: 95 94
0031030B: 94 93
003104E4: 97 98
00310733: 95 94
00310743: 96 95
00310CC9: 93 94
00310FB3: 95 96
00311043: 96 95
0031130B: 95 94
003117D3: 96 95
00312823: 96 95
00312863: 96 95
00312883: 96 95
003137E3: 95 94
00314793: 97 96
00314C7F: 97 98
00314F0B: 95 94
00314FCB: 96 95
003154D0: 97 98
00315743: 97 96
00315773: 98 97
00316863: 99 98
00317CEF: 99 9A
00317F0C: 93 94
0031880F: 93 92
00318F33: 96 95
00319FAB: 9A 99
0031A017: 93 92
0031A653: 98 97
0031A656: 98 97
0031A84B: 97 96
0031AA43: 95 94
0031B0E0: 9A 99
0031B0FF: 9A 99
0031BF1B: 93 92
0031BF23: 94 93
0031BF2B: 95 94
0031CF90: 97 98
0031CFFF: 98 99
0031D010: 92 91
0031D02F: 93 92
0031D04F: 95 94
0031D42A: 92 91
0031D471: 95 96
0031DB47: 94 93
0031DB78: 96 97
0031E347: 95 94
0031E4F1: AF AE
0031E823: 92 91
0031E843: 94 93
0031E847: 95 94
0031E8F1: C3 C4
0031EF43: 94 93
0031F3D0: 97 98
0031F603: 8F 8E
00321780: 8B 8A
00321BFB: 87 86
00321F20: 8E 8D
00321FE0: 87 86
00322386: 8D 8C
003224F0: 88 89
00322713: 8F 8E
0032278C: 8C 8B
003237AC: 8B 8A
00323BC3: 8A 8B
003240C4: 8B 8A
00324337: 90 8F
0032434F: 90 8F
003243DB: 8E 8D
0032470F: 91 90
003247C4: 8B 8A
00324B20: 92 91
00324B33: 91 90
00324B4B: 91 90
00324EC2: 8D 8C
00325483: 90 91
0032549B: 8F 90
00325CAF: 8F 90
00326080: 92 91
0032734B: 94 93
00327713: 94 93
00327B33: 94 93
00327CF4: 90 91
00327F5F: 95 94
00327FA0: 93 92
00328B00: 96 95
00328C10: 96 97
00328F00: 97 96
00329B8B: 98 97
00329BCB: 96 95
00329FF3: 95 94
0032A3F3: 96 95
0032AB2F: 9B 9A
0032AB5B: 9B 9A
0032AF5B: 9C 9B
0032AF70: 9B 9A
0032B30F: 9B 9A
0032B35B: 9D 9C
0032B86F: 9D 9E
0032BB70: 9E 9D
0032BBEA: 98 97
0032C38F: 9D 9E
0032C3F7: 99 98
0032C48F: 9E 9F
0032C8AF: 9D 9E
0032CF4F: A2 A1
0032D2CF: 9D 9E
0032D430: A2 A3
0032D74B: A3 A2
0032D76F: A3 A2
0032DB23: A3 A2
0032DB28: A3 A2
0032DB4B: A4 A3
0032DB68: A4 A3
0032DC59: A5 A6
0032DF1F: A3 A2
0032DF81: A2 A1
0032E430: A5 A6
0032E83F: A6 A7
0032EC7F: A6 A7
0032EF8F: A6 A5
0032F053: A9 AA
0032F154: AA A9
0032F31B: A7 A6
0032F3D0: A2 A1
0032F75C: AA A9
0032FC38: AD AE
0032FF90: A9 A8
00332C70: 4F 4E
00334FDE: 28 27
00337CAB: 2A 2B
00338B39: 63 64
0033AF67: 32 31
0033B778: 33 32
0033B8DA: 52 51
0033D217: 44 43
0033EACC: 6D 6E
0033FC9F: B2 B1
00340717: 90 8F
003407A3: 97 96
0034081C: 91 92
0034087F: 96 95
00340C4F: 94 93
